'Time and date','Fc5.','Fc3.','Fc1.','Fcz.','Fc2.','Fc4.','Fc6.','C5..','C3..','C1..','Cz..','C2..','C4..','C6..','Cp5.','Cp3.','Cp1.','Cpz.','Cp2.','Cp4.','Cp6.','Fp1.','Fpz.','Fp2.','Af7.','Af3.','Afz.','Af4.','Af8.','F7..','F5..','F3..','F1..','Fz..','F2..','F4..','F6..','F8..','Ft7.','Ft8.','T7..','T8..','T9..','T10.','Tp7.','Tp8.','P7..','P5..','P3..','P1..','Pz..','P2..','P4..','P6..','P8..','Po7.','Po3.','Poz.','Po4.','Po8.','O1..','Oz..','O2..','Iz..','EDF Annotations'
'[16:17:00.663 12/08/2009]',-2.000,-1.000,2.000,-1.000,-2.000,-4.000,-4.000,-86.000,3.000,2.000,6.000,6.000,1.000,-6.000,-3.000,-2.000,4.000,5.000,5.000,3.000,0.000,-24.000,-17.000,-9.000,-15.000,-23.000,-6.000,-8.000,-7.000,4.000,0.000,0.000,4.000,-4.000,0.000,-1.000,-7.000,-1.000,12.000,-8.000,2.000,-6.000,2.000,-2.000,1.000,-4.000,4.000,2.000,-3.000,1.000,1.000,3.000,-1.000,-2.000,-4.000,1.000,1.000,2.000,1.000,-23.000,-1.000,5.000,-3.000,0.000,0.000
'[16:17:00.669 12/08/2009]',13.000,14.000,13.000,11.000,14.000,4.000,5.000,118.000,15.000,11.000,14.000,12.000,6.000,1.000,13.000,13.000,16.000,20.000,11.000,5.000,2.000,-13.000,-8.000,-2.000,-7.000,-10.000,7.000,1.000,1.000,12.000,14.000,13.000,-2.000,6.000,11.000,10.000,3.000,-2.000,20.000,-5.000,13.000,-9.000,14.000,-8.000,15.000,-5.000,14.000,12.000,7.000,7.000,6.000,5.000,3.000,0.000,-3.000,10.000,7.000,6.000,3.000,-20.000,7.000,11.000,2.000,8.000,0.000
'[16:17:00.675 12/08/2009]',12.000,16.000,13.000,10.000,13.000,6.000,2.000,71.000,16.000,13.000,18.000,13.000,7.000,-2.000,12.000,15.000,18.000,18.000,13.000,7.000,1.000,-13.000,-6.000,-3.000,-7.000,-14.000,7.000,1.000,2.000,11.000,13.000,13.000,2.000,5.000,7.000,7.000,-1.000,-3.000,15.000,-3.000,12.000,-6.000,8.000,-11.000,20.000,-2.000,12.000,10.000,8.000,10.000,10.000,9.000,7.000,6.000,1.000,11.000,10.000,10.000,7.000,-15.000,10.000,16.000,5.000,14.000,0.000
'[16:17:00.681 12/08/2009]',9.000,14.000,13.000,11.000,12.000,6.000,-3.000,37.000,16.000,13.000,17.000,16.000,13.000,5.000,13.000,18.000,22.000,21.000,20.000,17.000,12.000,-19.000,-11.000,-9.000,-11.000,-14.000,3.000,-1.000,1.000,8.000,10.000,11.000,-6.000,4.000,6.000,6.000,-2.000,-4.000,14.000,1.000,9.000,7.000,2.000,7.000,14.000,10.000,17.000,17.000,18.000,22.000,19.000,20.000,18.000,16.000,12.000,18.000,19.000,19.000,15.000,-7.000,18.000,24.000,12.000,22.000,0.000
'[16:17:00.688 12/08/2009]',11.000,18.000,14.000,15.000,13.000,12.000,3.000,192.000,22.000,18.000,22.000,21.000,24.000,18.000,24.000,29.000,30.000,28.000,30.000,29.000,23.000,-25.000,-13.000,-7.000,-16.000,-7.000,5.000,1.000,2.000,7.000,13.000,13.000,-4.000,7.000,10.000,11.000,5.000,1.000,14.000,6.000,13.000,14.000,8.000,6.000,23.000,13.000,26.000,24.000,26.000,26.000,21.000,21.000,19.000,16.000,11.000,22.000,22.000,16.000,11.000,-11.000,17.000,18.000,6.000,15.000,0.000
'[16:17:00.694 12/08/2009]',21.000,28.000,30.000,29.000,26.000,27.000,22.000,-141.000,32.000,26.000,33.000,30.000,24.000,17.000,22.000,22.000,22.000,20.000,24.000,24.000,19.000,-28.000,-17.000,-11.000,-18.000,-11.000,-1.000,-4.000,-3.000,6.000,6.000,4.000,7.000,2.000,6.000,6.000,1.000,2.000,7.000,2.000,4.000,5.000,2.000,-2.000,13.000,3.000,14.000,12.000,11.000,10.000,5.000,7.000,5.000,2.000,-1.000,8.000,6.000,0.000,-5.000,-25.000,3.000,4.000,-6.000,4.000,0.000
'[16:17:00.700 12/08/2009]',12.000,15.000,18.000,22.000,25.000,19.000,14.000,-27.000,16.000,12.000,20.000,22.000,19.000,15.000,12.000,12.000,14.000,17.000,17.000,18.000,15.000,-20.000,-14.000,-10.000,-8.000,-4.000,1.000,-1.000,3.000,14.000,10.000,8.000,0.000,7.000,14.000,10.000,5.000,10.000,13.000,6.000,2.000,10.000,-2.000,6.000,6.000,10.000,10.000,9.000,9.000,7.000,5.000,8.000,6.000,5.000,5.000,10.000,7.000,1.000,-3.000,-22.000,6.000,6.000,-3.000,7.000,0.000
'[16:17:00.706 12/08/2009]',16.000,21.000,22.000,23.000,25.000,23.000,18.000,45.000,21.000,18.000,24.000,26.000,23.000,18.000,14.000,16.000,18.000,18.000,19.000,20.000,18.000,-8.000,-3.000,-2.000,2.000,1.000,9.000,7.000,12.000,11.000,15.000,14.000,5.000,11.000,15.000,13.000,8.000,11.000,16.000,12.000,14.000,9.000,11.000,13.000,17.000,14.000,14.000,9.000,6.000,5.000,2.000,3.000,1.000,3.000,6.000,11.000,7.000,-3.000,-6.000,-20.000,4.000,5.000,-4.000,3.000,0.000
'[16:17:00.713 12/08/2009]',27.000,29.000,39.000,33.000,26.000,29.000,28.000,-208.000,28.000,24.000,31.000,26.000,10.000,8.000,10.000,10.000,10.000,11.000,7.000,8.000,11.000,-18.000,-11.000,-8.000,-7.000,-12.000,-2.000,-6.000,-1.000,3.000,5.000,3.000,6.000,0.000,3.000,-1.000,-6.000,-5.000,10.000,0.000,9.000,2.000,8.000,3.000,8.000,5.000,10.000,3.000,-2.000,-3.000,-9.000,-7.000,-12.000,-7.000,-4.000,3.000,-1.000,-12.000,-17.000,-29.000,-5.000,-1.000,-12.000,-5.000,0.000
'[16:17:00.719 12/08/2009]',5.000,4.000,1.000,-1.000,-5.000,-4.000,-1.000,99.000,-3.000,-8.000,-6.000,-7.000,-8.000,-7.000,-4.000,-5.000,-8.000,1.000,-10.000,-10.000,-7.000,-37.000,-31.000,-29.000,-27.000,-30.000,-21.000,-24.000,-20.000,-13.000,-15.000,-16.000,-4.000,-20.000,-20.000,-20.000,-24.000,-25.000,-13.000,-22.000,-15.000,-13.000,-18.000,-17.000,-17.000,-17.000,-14.000,-16.000,-19.000,-21.000,-26.000,-24.000,-29.000,-24.000,-21.000,-16.000,-18.000,-27.000,-32.000,-43.000,-20.000,-18.000,-28.000,-24.000,0.000
'[16:17:00.725 12/08/2009]',-21.000,-21.000,-30.000,-31.000,-33.000,-29.000,-25.000,92.000,-25.000,-29.000,-28.000,-26.000,-20.000,-18.000,-20.000,-17.000,-22.000,-17.000,-18.000,-18.000,-15.000,-46.000,-37.000,-35.000,-36.000,-40.000,-26.000,-25.000,-22.000,-16.000,-19.000,-19.000,6.000,-20.000,-27.000,-22.000,-26.000,-19.000,-15.000,-17.000,-16.000,-8.000,-19.000,-6.000,-9.000,-10.000,-14.000,-15.000,-16.000,-18.000,-21.000,-19.000,-20.000,-15.000,-11.000,-12.000,-11.000,-17.000,-20.000,-34.000,-11.000,-10.000,-18.000,-14.000,0.000
'[16:17:00.731 12/08/2009]',-11.000,-10.000,-13.000,-13.000,-12.000,-12.000,-13.000,-26.000,-10.000,-12.000,-11.000,-10.000,-7.000,-3.000,-11.000,-5.000,-8.000,-6.000,-5.000,-2.000,2.000,-31.000,-21.000,-15.000,-26.000,-25.000,-10.000,-9.000,-2.000,-8.000,-7.000,-7.000,8.000,-4.000,-11.000,-5.000,-10.000,-2.000,-1.000,2.000,-7.000,3.000,-9.000,10.000,1.000,6.000,-3.000,-3.000,-3.000,-5.000,-5.000,-5.000,-5.000,0.000,1.000,1.000,2.000,-4.000,-5.000,-22.000,1.000,3.000,-6.000,-1.000,0.000
'[16:17:00.738 12/08/2009]',0.000,3.000,1.000,2.000,3.000,5.000,6.000,24.000,5.000,3.000,4.000,4.000,3.000,6.000,3.000,8.000,5.000,5.000,5.000,7.000,11.000,-21.000,-13.000,-8.000,-18.000,-14.000,-2.000,-2.000,-1.000,-1.000,2.000,2.000,10.000,4.000,-1.000,3.000,1.000,-3.000,13.000,4.000,7.000,4.000,6.000,-1.000,13.000,7.000,13.000,9.000,8.000,5.000,2.000,2.000,-1.000,3.000,2.000,12.000,10.000,3.000,-2.000,-21.000,8.000,5.000,-4.000,1.000,0.000
'[16:17:00.744 12/08/2009]',31.000,31.000,39.000,35.000,26.000,31.000,34.000,-239.000,35.000,27.000,32.000,24.000,6.000,6.000,14.000,14.000,9.000,13.000,6.000,7.000,8.000,-12.000,-4.000,-2.000,-6.000,-1.000,7.000,4.000,2.000,12.000,12.000,11.000,15.000,10.000,4.000,7.000,6.000,1.000,21.000,5.000,12.000,3.000,12.000,3.000,12.000,1.000,8.000,5.000,4.000,1.000,-4.000,-5.000,-10.000,-7.000,-7.000,4.000,3.000,-6.000,-14.000,-33.000,-2.000,-4.000,-15.000,-7.000,0.000
'[16:17:00.750 12/08/2009]',31.000,25.000,29.000,29.000,19.000,19.000,22.000,-203.000,22.000,12.000,14.000,6.000,-1.000,6.000,3.000,3.000,1.000,8.000,-6.000,-5.000,-1.000,-13.000,-5.000,-3.000,-7.000,0.000,3.000,-1.000,-2.000,5.000,7.000,6.000,10.000,4.000,-4.000,-1.000,-2.000,-2.000,10.000,-5.000,-7.000,-2.000,-5.000,0.000,-14.000,-6.000,-14.000,-13.000,-11.000,-14.000,-18.000,-19.000,-24.000,-18.000,-16.000,-15.000,-13.000,-18.000,-25.000,-43.000,-15.000,-16.000,-24.000,-15.000,0.000
'[16:17:00.756 12/08/2009]',7.000,6.000,4.000,4.000,-5.000,-4.000,-1.000,-111.000,4.000,-1.000,-1.000,-6.000,-8.000,-5.000,-7.000,-5.000,-5.000,-3.000,-12.000,-10.000,-5.000,-20.000,-13.000,-12.000,-15.000,-7.000,-4.000,-7.000,-6.000,1.000,-1.000,-2.000,15.000,-2.000,-10.000,-7.000,-10.000,-12.000,6.000,-11.000,-8.000,-5.000,-5.000,-1.000,-11.000,-5.000,-16.000,-15.000,-13.000,-15.000,-20.000,-19.000,-24.000,-18.000,-15.000,-16.000,-13.000,-18.000,-25.000,-44.000,-15.000,-17.000,-24.000,-20.000,0.000
'[16:17:00.763 12/08/2009]',9.000,10.000,16.000,12.000,1.000,4.000,12.000,-248.000,11.000,4.000,10.000,2.000,-10.000,-6.000,-11.000,-11.000,-10.000,-9.000,-14.000,-13.000,-7.000,-27.000,-18.000,-16.000,-22.000,-12.000,-11.000,-11.000,-9.000,-5.000,-10.000,-11.000,15.000,-9.000,-11.000,-11.000,-12.000,-14.000,-2.000,-12.000,-12.000,-10.000,-8.000,-6.000,-8.000,-14.000,-18.000,-21.000,-21.000,-22.000,-27.000,-26.000,-29.000,-26.000,-25.000,-18.000,-18.000,-26.000,-34.000,-53.000,-18.000,-22.000,-31.000,-22.000,0.000
'[16:17:00.769 12/08/2009]',-6.000,-8.000,-8.000,-8.000,-12.000,-9.000,-3.000,-53.000,-11.000,-18.000,-13.000,-17.000,-14.000,-6.000,-17.000,-19.000,-17.000,-13.000,-21.000,-17.000,-11.000,-31.000,-22.000,-20.000,-24.000,-18.000,-15.000,-15.000,-16.000,-10.000,-13.000,-15.000,8.000,-16.000,-14.000,-15.000,-15.000,-13.000,-8.000,-5.000,-20.000,-7.000,-20.000,-1.000,-21.000,-13.000,-19.000,-23.000,-25.000,-26.000,-29.000,-28.000,-27.000,-23.000,-20.000,-18.000,-18.000,-25.000,-32.000,-48.000,-18.000,-19.000,-29.000,-20.000,0.000
'[16:17:00.775 12/08/2009]',-11.000,-14.000,-15.000,-14.000,-16.000,-11.000,-7.000,-121.000,-17.000,-21.000,-15.000,-18.000,-13.000,-7.000,-24.000,-27.000,-22.000,-24.000,-22.000,-15.000,-8.000,-38.000,-28.000,-22.000,-31.000,-35.000,-24.000,-23.000,-20.000,-19.000,-22.000,-23.000,15.000,-25.000,-21.000,-22.000,-24.000,-21.000,-14.000,-9.000,-25.000,-5.000,-25.000,-3.000,-34.000,-5.000,-29.000,-31.000,-32.000,-33.000,-33.000,-31.000,-27.000,-22.000,-17.000,-25.000,-24.000,-29.000,-31.000,-47.000,-23.000,-21.000,-29.000,-21.000,0.000
'[16:17:00.781 12/08/2009]',-19.000,-23.000,-21.000,-21.000,-21.000,-17.000,-12.000,-60.000,-29.000,-29.000,-23.000,-23.000,-18.000,-10.000,-34.000,-36.000,-27.000,-33.000,-25.000,-19.000,-11.000,-46.000,-36.000,-26.000,-37.000,-42.000,-32.000,-31.000,-21.000,-27.000,-30.000,-30.000,1.000,-31.000,-22.000,-29.000,-31.000,-23.000,-20.000,-16.000,-28.000,-7.000,-22.000,-2.000,-26.000,-11.000,-25.000,-31.000,-31.000,-34.000,-34.000,-33.000,-30.000,-25.000,-22.000,-24.000,-22.000,-29.000,-32.000,-49.000,-22.000,-23.000,-29.000,-20.000,0.000
'[16:17:00.788 12/08/2009]',-33.000,-33.000,-36.000,-34.000,-34.000,-31.000,-27.000,300.000,-39.000,-37.000,-34.000,-32.000,-19.000,-12.000,-27.000,-30.000,-23.000,-27.000,-23.000,-18.000,-13.000,-49.000,-39.000,-29.000,-41.000,-39.000,-30.000,-29.000,-24.000,-33.000,-25.000,-25.000,-8.000,-27.000,-18.000,-25.000,-29.000,-24.000,-23.000,-17.000,-24.000,-12.000,-26.000,-4.000,-13.000,-15.000,-11.000,-18.000,-18.000,-24.000,-26.000,-24.000,-23.000,-21.000,-22.000,-12.000,-11.000,-20.000,-24.000,-44.000,-13.000,-16.000,-24.000,-18.000,0.000
'[16:17:00.794 12/08/2009]',-23.000,-21.000,-28.000,-29.000,-31.000,-28.000,-26.000,373.000,-24.000,-25.000,-25.000,-26.000,-15.000,-13.000,-13.000,-15.000,-13.000,-14.000,-17.000,-15.000,-12.000,-50.000,-42.000,-36.000,-37.000,-26.000,-25.000,-27.000,-31.000,-17.000,-14.000,-14.000,-3.000,-21.000,-19.000,-23.000,-29.000,-31.000,-7.000,-21.000,-11.000,-18.000,-13.000,-11.000,-5.000,-18.000,-11.000,-16.000,-17.000,-24.000,-29.000,-26.000,-25.000,-23.000,-27.000,-15.000,-15.000,-23.000,-26.000,-48.000,-17.000,-20.000,-27.000,-17.000,0.000
'[16:17:00.800 12/08/2009]',-10.000,-16.000,-26.000,-30.000,-27.000,-31.000,-28.000,281.000,-26.000,-33.000,-31.000,-32.000,-24.000,-18.000,-20.000,-22.000,-22.000,-14.000,-29.000,-27.000,-23.000,-23.000,-20.000,-23.000,-11.000,-10.000,-19.000,-24.000,-23.000,8.000,-7.000,-10.000,-12.000,-20.000,-24.000,-25.000,-29.000,-30.000,6.000,-25.000,-11.000,-27.000,-2.000,-19.000,-13.000,-30.000,-27.000,-32.000,-34.000,-40.000,-43.000,-40.000,-37.000,-36.000,-39.000,-31.000,-31.000,-35.000,-37.000,-59.000,-31.000,-33.000,-40.000,-27.000,0.000
'[16:17:00.806 12/08/2009]',-9.000,-20.000,-29.000,-34.000,-28.000,-33.000,-32.000,262.000,-33.000,-38.000,-36.000,-34.000,-26.000,-23.000,-26.000,-26.000,-29.000,-21.000,-31.000,-30.000,-26.000,2.000,1.000,-9.000,12.000,1.000,-8.000,-15.000,-16.000,26.000,5.000,1.000,-6.000,-10.000,-18.000,-16.000,-17.000,-26.000,21.000,-20.000,-4.000,-21.000,6.000,-23.000,-8.000,-25.000,-23.000,-25.000,-26.000,-30.000,-30.000,-27.000,-25.000,-26.000,-28.000,-24.000,-21.000,-21.000,-23.000,-46.000,-22.000,-23.000,-27.000,-21.000,0.000
'[16:17:00.813 12/08/2009]',14.000,5.000,-3.000,-10.000,-6.000,-7.000,-7.000,238.000,-6.000,-6.000,-6.000,-5.000,-1.000,-3.000,-2.000,1.000,-1.000,7.000,-2.000,-1.000,-1.000,22.000,18.000,9.000,35.000,26.000,16.000,7.000,1.000,53.000,32.000,29.000,-5.000,17.000,7.000,10.000,4.000,-13.000,48.000,-5.000,25.000,-1.000,33.000,-13.000,20.000,-4.000,5.000,4.000,4.000,1.000,1.000,5.000,3.000,0.000,-5.000,2.000,6.000,5.000,4.000,-21.000,3.000,1.000,-3.000,3.000,0.000
'[16:17:00.819 12/08/2009]',32.000,24.000,14.000,11.000,9.000,5.000,-2.000,284.000,11.000,10.000,8.000,5.000,10.000,8.000,15.000,18.000,14.000,21.000,11.000,11.000,7.000,26.000,20.000,9.000,41.000,29.000,16.000,5.000,-5.000,54.000,32.000,27.000,-11.000,15.000,1.000,0.000,-8.000,-23.000,47.000,-16.000,26.000,-12.000,33.000,-18.000,17.000,-8.000,5.000,5.000,5.000,2.000,1.000,5.000,3.000,-2.000,-9.000,4.000,7.000,5.000,4.000,-21.000,5.000,1.000,-3.000,2.000,0.000
'[16:17:00.825 12/08/2009]',30.000,21.000,9.000,5.000,1.000,-5.000,-18.000,58.000,15.000,12.000,11.000,4.000,5.000,-4.000,18.000,20.000,17.000,23.000,16.000,13.000,6.000,29.000,19.000,4.000,44.000,27.000,19.000,6.000,-8.000,63.000,40.000,36.000,1.000,22.000,8.000,6.000,-4.000,-17.000,65.000,-10.000,48.000,-8.000,56.000,-9.000,38.000,5.000,36.000,35.000,34.000,31.000,29.000,32.000,30.000,24.000,17.000,41.000,42.000,37.000,36.000,9.000,42.000,37.000,31.000,40.000,0.000
'[16:17:00.831 12/08/2009]',71.000,59.000,49.000,48.000,43.000,32.000,18.000,-89.000,59.000,55.000,52.000,46.000,42.000,30.000,65.000,64.000,60.000,69.000,58.000,53.000,44.000,53.000,43.000,29.000,73.000,67.000,53.000,39.000,23.000,102.000,79.000,76.000,1.000,60.000,49.000,45.000,33.000,17.000,106.000,20.000,94.000,26.000,100.000,12.000,95.000,38.000,96.000,88.000,83.000,78.000,73.000,77.000,71.000,62.000,53.000,94.000,90.000,81.000,77.000,49.000,91.000,83.000,73.000,92.000,0.000
'[16:17:00.838 12/08/2009]',106.000,98.000,88.000,86.000,83.000,70.000,54.000,48.000,99.000,96.000,91.000,84.000,77.000,64.000,106.000,102.000,98.000,105.000,93.000,87.000,78.000,75.000,65.000,53.000,96.000,94.000,81.000,65.000,49.000,124.000,107.000,103.000,-1.000,89.000,77.000,74.000,61.000,41.000,129.000,42.000,121.000,50.000,129.000,30.000,129.000,60.000,129.000,118.000,115.000,110.000,104.000,106.000,98.000,87.000,74.000,124.000,118.000,107.000,103.000,72.000,119.000,109.000,96.000,117.000,0.000
'[16:17:00.844 12/08/2009]',141.000,137.000,140.000,134.000,123.000,112.000,96.000,-209.000,142.000,137.000,136.000,124.000,99.000,82.000,126.000,122.000,120.000,125.000,115.000,109.000,96.000,90.000,81.000,69.000,109.000,106.000,99.000,82.000,67.000,138.000,122.000,119.000,2.000,105.000,95.000,91.000,78.000,59.000,139.000,54.000,133.000,57.000,135.000,41.000,136.000,65.000,127.000,121.000,121.000,119.000,113.000,116.000,107.000,95.000,77.000,123.000,119.000,110.000,108.000,73.000,116.000,107.000,96.000,118.000,0.000
'[16:17:00.850 12/08/2009]',136.000,132.000,136.000,134.000,121.000,107.000,93.000,-123.000,127.000,125.000,125.000,116.000,97.000,82.000,110.000,110.000,112.000,107.000,108.000,102.000,88.000,78.000,69.000,58.000,96.000,92.000,87.000,71.000,57.000,111.000,103.000,100.000,-3.000,88.000,80.000,78.000,65.000,41.000,108.000,42.000,96.000,44.000,88.000,24.000,92.000,49.000,84.000,84.000,89.000,87.000,86.000,91.000,84.000,72.000,55.000,78.000,80.000,78.000,78.000,44.000,72.000,68.000,63.000,72.000,0.000
'[16:17:00.856 12/08/2009]',86.000,86.000,84.000,84.000,77.000,69.000,62.000,-19.000,81.000,81.000,82.000,78.000,69.000,56.000,67.000,71.000,74.000,63.000,75.000,72.000,62.000,36.000,31.000,20.000,57.000,51.000,52.000,39.000,21.000,73.000,66.000,64.000,2.000,54.000,44.000,47.000,34.000,5.000,64.000,17.000,43.000,27.000,27.000,-1.000,36.000,33.000,37.000,45.000,53.000,54.000,56.000,63.000,59.000,51.000,39.000,37.000,46.000,52.000,55.000,24.000,36.000,36.000,36.000,29.000,0.000
'[16:17:00.863 12/08/2009]',69.000,70.000,80.000,78.000,70.000,62.000,52.000,-232.000,71.000,70.000,73.000,68.000,52.000,45.000,41.000,49.000,53.000,44.000,58.000,58.000,53.000,20.000,18.000,9.000,34.000,39.000,37.000,27.000,15.000,55.000,49.000,48.000,7.000,42.000,32.000,34.000,20.000,7.000,44.000,18.000,24.000,25.000,10.000,10.000,22.000,31.000,18.000,28.000,36.000,39.000,42.000,50.000,45.000,42.000,32.000,18.000,29.000,38.000,42.000,12.000,17.000,18.000,21.000,5.000,0.000
'[16:17:00.869 12/08/2009]',50.000,53.000,56.000,58.000,53.000,44.000,35.000,-23.000,50.000,49.000,53.000,50.000,46.000,41.000,32.000,41.000,45.000,39.000,49.000,49.000,45.000,23.000,22.000,18.000,32.000,40.000,38.000,30.000,20.000,49.000,49.000,48.000,4.000,43.000,36.000,38.000,26.000,20.000,42.000,18.000,25.000,18.000,14.000,13.000,24.000,25.000,20.000,28.000,36.000,37.000,39.000,44.000,38.000,35.000,27.000,18.000,27.000,33.000,35.000,6.000,15.000,14.000,17.000,2.000,0.000
'[16:17:00.875 12/08/2009]',53.000,58.000,59.000,59.000,53.000,51.000,43.000,-109.000,56.000,58.000,61.000,59.000,49.000,41.000,41.000,48.000,51.000,46.000,53.000,52.000,45.000,30.000,30.000,27.000,39.000,44.000,45.000,37.000,27.000,58.000,56.000,55.000,8.000,51.000,42.000,46.000,35.000,24.000,55.000,21.000,40.000,22.000,27.000,7.000,28.000,27.000,30.000,37.000,45.000,44.000,44.000,47.000,41.000,37.000,29.000,26.000,34.000,36.000,37.000,8.000,21.000,16.000,18.000,5.000,0.000
'[16:17:00.881 12/08/2009]',66.000,72.000,77.000,79.000,70.000,65.000,54.000,-178.000,69.000,70.000,76.000,72.000,55.000,48.000,50.000,54.000,59.000,55.000,60.000,58.000,50.000,34.000,34.000,32.000,44.000,55.000,51.000,43.000,36.000,64.000,60.000,59.000,3.000,58.000,48.000,50.000,39.000,31.000,61.000,29.000,43.000,32.000,31.000,17.000,34.000,35.000,31.000,38.000,46.000,45.000,48.000,51.000,43.000,43.000,33.000,27.000,36.000,38.000,40.000,12.000,23.000,20.000,22.000,13.000,0.000
'[16:17:00.888 12/08/2009]',55.000,61.000,58.000,63.000,58.000,53.000,41.000,191.000,53.000,57.000,63.000,61.000,55.000,49.000,41.000,50.000,56.000,50.000,60.000,56.000,51.000,27.000,28.000,23.000,39.000,49.000,45.000,38.000,27.000,58.000,55.000,54.000,-2.000,48.000,39.000,44.000,34.000,24.000,50.000,26.000,29.000,32.000,18.000,15.000,25.000,32.000,18.000,27.000,36.000,35.000,38.000,41.000,36.000,37.000,27.000,20.000,29.000,29.000,31.000,7.000,16.000,14.000,15.000,5.000,0.000
'[16:17:00.894 12/08/2009]',43.000,46.000,39.000,43.000,39.000,38.000,30.000,77.000,40.000,43.000,47.000,46.000,43.000,34.000,28.000,37.000,42.000,36.000,45.000,42.000,39.000,15.000,15.000,9.000,30.000,32.000,33.000,25.000,12.000,48.000,43.000,42.000,0.000,34.000,23.000,33.000,25.000,10.000,39.000,15.000,16.000,20.000,11.000,7.000,11.000,21.000,9.000,18.000,27.000,26.000,27.000,31.000,26.000,29.000,18.000,13.000,21.000,21.000,22.000,0.000,9.000,7.000,7.000,0.000,0.000
'[16:17:00.900 12/08/2009]',41.000,43.000,36.000,42.000,40.000,34.000,32.000,137.000,38.000,39.000,39.000,40.000,36.000,31.000,30.000,39.000,38.000,42.000,39.000,38.000,36.000,22.000,19.000,14.000,33.000,43.000,35.000,29.000,17.000,55.000,45.000,44.000,-8.000,37.000,27.000,36.000,30.000,15.000,46.000,17.000,26.000,23.000,26.000,14.000,25.000,26.000,17.000,26.000,33.000,31.000,30.000,33.000,31.000,33.000,25.000,17.000,25.000,25.000,29.000,7.000,12.000,10.000,12.000,2.000,0.000
'[16:17:00.906 12/08/2009]',49.000,49.000,41.000,43.000,42.000,33.000,30.000,101.000,45.000,42.000,41.000,40.000,33.000,30.000,34.000,39.000,36.000,40.000,36.000,36.000,37.000,26.000,22.000,15.000,33.000,39.000,32.000,27.000,20.000,54.000,40.000,37.000,2.000,29.000,21.000,28.000,22.000,17.000,44.000,17.000,27.000,20.000,23.000,13.000,23.000,23.000,8.000,15.000,18.000,16.000,14.000,18.000,19.000,24.000,17.000,2.000,8.000,8.000,14.000,-5.000,-5.000,-5.000,-3.000,-15.000,0.000
'[16:17:00.913 12/08/2009]',35.000,32.000,34.000,32.000,28.000,24.000,23.000,-212.000,29.000,23.000,27.000,22.000,11.000,10.000,5.000,7.000,8.000,5.000,11.000,14.000,18.000,6.000,2.000,-6.000,13.000,14.000,10.000,5.000,0.000,31.000,17.000,14.000,10.000,6.000,2.000,8.000,5.000,3.000,23.000,1.000,5.000,6.000,-2.000,0.000,-1.000,12.000,-11.000,-5.000,-3.000,-2.000,-4.000,3.000,6.000,12.000,8.000,-11.000,-5.000,-3.000,5.000,-14.000,-14.000,-12.000,-7.000,-16.000,0.000
'[16:17:00.919 12/08/2009]',24.000,18.000,16.000,21.000,18.000,18.000,22.000,41.000,15.000,13.000,15.000,16.000,18.000,22.000,7.000,11.000,12.000,14.000,20.000,26.000,31.000,24.000,18.000,10.000,32.000,34.000,25.000,22.000,16.000,50.000,34.000,34.000,4.000,26.000,20.000,30.000,27.000,22.000,42.000,23.000,22.000,29.000,16.000,15.000,18.000,31.000,13.000,19.000,21.000,23.000,23.000,29.000,30.000,34.000,30.000,15.000,22.000,24.000,31.000,9.000,16.000,13.000,18.000,12.000,0.000
'[16:17:00.925 12/08/2009]',55.000,49.000,46.000,46.000,46.000,49.000,54.000,-41.000,46.000,45.000,46.000,49.000,47.000,46.000,37.000,41.000,41.000,43.000,46.000,50.000,51.000,58.000,55.000,44.000,59.000,56.000,51.000,47.000,39.000,70.000,58.000,55.000,7.000,49.000,42.000,51.000,46.000,36.000,58.000,36.000,40.000,40.000,30.000,25.000,35.000,34.000,31.000,36.000,40.000,40.000,37.000,38.000,39.000,41.000,32.000,31.000,35.000,32.000,35.000,11.000,27.000,21.000,22.000,20.000,0.000
'[16:17:00.931 12/08/2009]',67.000,63.000,68.000,67.000,60.000,59.000,60.000,-260.000,60.000,56.000,60.000,58.000,45.000,40.000,40.000,43.000,44.000,45.000,43.000,44.000,44.000,72.000,65.000,55.000,71.000,62.000,56.000,48.000,40.000,70.000,59.000,55.000,8.000,51.000,42.000,47.000,43.000,37.000,54.000,29.000,36.000,26.000,22.000,27.000,30.000,24.000,25.000,30.000,34.000,33.000,29.000,27.000,29.000,30.000,22.000,24.000,27.000,23.000,23.000,1.000,16.000,10.000,8.000,7.000,0.000
'[16:17:00.938 12/08/2009]',56.000,54.000,53.000,53.000,45.000,43.000,45.000,-171.000,49.000,45.000,48.000,46.000,38.000,32.000,34.000,39.000,37.000,40.000,37.000,40.000,39.000,89.000,76.000,65.000,86.000,67.000,61.000,51.000,51.000,76.000,63.000,60.000,10.000,53.000,42.000,50.000,50.000,45.000,56.000,36.000,33.000,33.000,17.000,29.000,26.000,32.000,22.000,28.000,32.000,32.000,29.000,30.000,33.000,35.000,29.000,20.000,25.000,26.000,27.000,1.000,13.000,6.000,9.000,-1.000,0.000
